timestamp,open,high,low,close,volume,vpin,vpin_regime,garch_mu,garch_vol,garch_signal,svm_pred,xgb_pred,xgb_conf,week_pos,trend_15m,decision
2026-09-02 09:22:45.545004+05:30,23806.5,23922.06,23806.5,23806.5,12701.0,0.1759,LOW_TOXICITY,-0.007628,9.2213,SELL,-1,-1,0.5,0.016,1,VETO
2026-09-02 09:22:58.997151+05:30,23806.15,23922.06,23806.15,23806.15,12701.0,0.1759,LOW_TOXICITY,-0.007614,9.2042,SELL,-1,-1,0.5,0.018,1,VETO
2026-09-02 09:23:02.135636+05:30,23804.6,23804.6,23705.01,23804.6,12701.0,0.1759,LOW_TOXICITY,-0.007626,8.7357,SELL,-1,-1,0.5,0.015,1,VETO
2026-09-02 09:23:05.445245+05:30,23806.95,23806.95,23709.2,23806.95,12701.0,0.1759,LOW_TOXICITY,-0.007604,8.7194,SELL,-1,-1,0.5,0.018,1,VETO
2026-09-02 09:24:02.188859+05:30,23796.05,23922.06,23796.05,23796.05,12701.0,0.1759,LOW_TOXICITY,-0.007594,8.2603,SELL,-1,-1,0.5,0.014,1,VETO
2026-09-02 09:24:03.860656+05:30,23794.7,23922.06,23794.7,23794.7,12701.0,0.1759,LOW_TOXICITY,-0.007613,8.2757,SELL,-1,-1,0.5,0.012,1,VETO
2026-09-02 09:25:00.402394+05:30,23805.3,23922.06,23805.3,23805.3,12701.0,0.1759,LOW_TOXICITY,-0.007571,7.84,SELL,-1,-1,0.5,0.016,1,VETO
2026-09-02 09:25:14.578346+05:30,23812.15,23812.15,23711.88,23812.15,12701.0,0.1759,LOW_TOXICITY,-0.007587,9.17,SELL,-1,-1,0.9799,0.021,1,APPROVED
2026-09-02 09:26:01.886516+05:30,24000.0,24000.0,23898.94,24000.0,12701.0,0.1759,LOW_TOXICITY,-0.006999,7.458,SELL,-1,1,0.6617,0.077,1,VETO
2026-09-02 09:26:01.156619+05:30,23814.4,23814.4,23714.13,23814.4,12701.0,0.1759,LOW_TOXICITY,-0.007573,8.687,SELL,1,1,0.9501,0.021,1,VETO
2026-09-02 09:27:00.916840+05:30,23827.3,23827.3,23726.97,23827.3,12701.0,0.1759,LOW_TOXICITY,-0.007497,8.2296,SELL,1,1,0.9538,0.026,1,VETO
2026-09-02 09:27:03.459816+05:30,24000.0,24000.0,23898.94,24000.0,12701.0,0.1759,LOW_TOXICITY,-0.006873,1.325,SELL,-1,1,0.5705,0.077,1,VETO
2026-09-02 09:28:00.171508+05:30,23827.0,23922.06,23827.0,23827.0,12701.0,0.1759,LOW_TOXICITY,-0.0073,1.3251,SELL,-1,-1,0.5057,0.023,1,APPROVED
2026-09-02 09:28:15.330850+05:30,23826.05,23826.05,23723.24,23826.05,12701.0,0.1759,LOW_TOXICITY,-0.007597,9.1825,SELL,-1,-1,0.5,0.02,1,VETO
2026-09-02 09:29:01.556930+05:30,23820.25,23922.06,23820.25,23820.25,12701.0,0.1759,LOW_TOXICITY,-0.007369,1.3251,SELL,-1,1,0.5263,0.02,1,APPROVED
2026-09-02 09:29:01.878846+05:30,23823.55,23823.55,23719.95,23823.55,12701.0,0.1759,LOW_TOXICITY,-0.007596,8.6988,SELL,-1,-1,0.5,0.019,1,VETO
2026-09-02 09:29:33.915490+05:30,23823.45,23823.45,23723.14,23823.45,12701.0,0.1759,LOW_TOXICITY,-0.007531,9.1,SELL,-1,-1,0.9897,0.027,1,APPROVED
2026-09-02 09:29:47.343100+05:30,23821.4,23821.4,23721.1,23821.4,12701.0,0.1759,LOW_TOXICITY,-0.007537,9.1072,SELL,-1,-1,0.9819,0.026,1,APPROVED
2026-09-02 09:30:01.640675+05:30,23825.35,23825.35,23725.03,23825.35,12701.0,0.1759,LOW_TOXICITY,-0.007518,8.6276,SELL,1,1,0.9751,0.028,1,VETO
2026-09-02 09:30:02.265806+05:30,23821.95,23821.95,23721.64,23821.95,12701.0,0.1759,LOW_TOXICITY,-0.007528,8.6208,SELL,-1,-1,0.9878,0.027,1,APPROVED
2026-09-02 09:30:03.825898+05:30,23824.9,23922.06,23824.9,23824.9,12701.0,0.1759,LOW_TOXICITY,-0.007391,1.3252,SELL,-1,1,0.5705,0.022,1,VETO
