exit_timestamp,entry_time,track,symbol,side,quantity,entry_price,exit_price,pnl_inr,pnl_pct,exit_reason,cumulative_daily_pnl
2026-09-22 14:42:18.401613+05:30,2026-09-22 14:42:07.908179+05:30,Track 1: Dual-Brain,NIFTY 22 SEP 23350 CALL,LONG,65,62.91,44.66,-1186.25,-29.01,DISASTER_STOP_LOSS (Emergency Capital Shield: Premium INR 45.20 <= Hard Floor INR 47.14),109.19999999999982
2026-09-22 14:42:22.251521+05:30,2026-09-22 14:42:07.910487+05:30,Track 2: Tri-Brain ANN,NIFTY 22 SEP 23350 CALL,LONG,65,62.91,43.91,-1235.0,-30.2,DISASTER_STOP_LOSS (Emergency Capital Shield: Premium INR 45.20 <= Hard Floor INR 47.14),306.79999999999905
2026-09-22 15:20:40.625211+05:30,2026-09-22 15:20:05.141307+05:30,Track 1: Dual-Brain,NIFTY 22 SEP 23450 PUT,SHORT,65,96.05,123.28,1769.9500000000005,28.35,RUNNER_TRAILING_HIT (Peak INR 135.80 -> SL INR 130.30 | Captured +34.25 pts Runner Profit),1879.15
2026-09-22 15:20:44.317262+05:30,2026-09-22 15:20:05.146206+05:30,Track 2: Tri-Brain ANN,NIFTY 22 SEP 23450 PUT,SHORT,65,96.05,122.78,1737.4500000000005,27.83,RUNNER_TRAILING_HIT (Peak INR 135.80 -> SL INR 130.30 | Captured +34.25 pts Runner Profit),2044.2499999999995
2026-09-23 12:26:06.821768+05:30,2026-09-23 12:16:05.209153+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 23350 CALL,LONG,65,197.85,186.31,-750.0999999999995,-5.83,EMERGENCY_REVERSAL_EXIT: Model confirmed Bearish SELL signal,-750.0999999999995
2026-09-23 13:32:47.908061+05:30,2026-09-23 13:32:03.658662+05:30,Track 2: Tri-Brain ANN,NIFTY 29 SEP 23350 CALL,LONG,65,197.85,171.78,-1694.5499999999995,-13.18,STOP_LOSS_HIT (Option INR 172.65 <= SL 172.65 | Swing Trail),-1694.5499999999995
2026-09-23 14:03:44.065905+05:30,2026-09-23 14:02:09.179906+05:30,Track 2: Tri-Brain ANN,NIFTY 29 SEP 23650 PUT,SHORT,65,237.79,225.87,-774.7999999999992,-5.01,STOP_LOSS_HIT (Option INR 225.20 <= SL 227.55 | Scalper Tier 0.0R),-2469.3499999999985
2026-09-23 14:11:05.479100+05:30,2026-09-23 14:02:07.475459+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 23700 PUT,SHORT,65,263.86,257.84,-391.3000000000025,-2.28,EMERGENCY_REVERSAL_EXIT: Model confirmed Bullish BUY signal,-1141.400000000002
2026-09-23 14:33:34.482453+05:30,2026-09-23 14:33:07.725875+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 23350 CALL,LONG,65,184.78,184.72,-3.900000000000148,-0.03,TRAILING_STOP_HIT (Protected Profit Lock: Premium INR 184.55 <= Trail SL INR 186.28 | Tier 1.0R),-1145.300000000002
2026-09-23 14:33:38.056001+05:30,2026-09-23 14:33:07.726759+05:30,Track 2: Tri-Brain ANN,NIFTY 29 SEP 23350 CALL,LONG,65,184.78,184.47,-20.150000000000148,-0.17,TRAILING_STOP_HIT (Protected Profit Lock: Premium INR 184.55 <= Trail SL INR 186.28 | Tier 1.0R),-2489.4999999999986
