exit_timestamp,entry_time,symbol,side,quantity,entry_price,exit_price,pnl_inr,pnl_pct,exit_reason,cumulative_daily_pnl
2026-09-03 10:35:04.516789+05:30,2026-09-03 09:48:05.574097+05:30,,FLAT,0,0.0,117.88,-15.60,0.0,STOP_LOSS_TRIGGERED (Price INR 118.00 <= SL INR 118.12),-15.60
2026-09-03 11:30:02.304646+05:30,2026-09-03 11:15:03.406378+05:30,,FLAT,0,0.0,111.39,-1354.60,0.0,EMERGENCY_REVERSAL_EXIT: Model confirmed Bullish BUY signal,-1354.60
2026-09-03 15:14:04.846369+05:30,2026-09-03 15:07:08.580395+05:30,,FLAT,0,0.0,105.29,-573.30,0.0,MULTI_BAR_REVERSAL_EXIT: CUMULATIVE_COUNTER_TREND: Spot surged +22.6 pts in 5 mins against PUT,-573.30
2026-09-15 09:27:04.874529+05:30,2026-09-15 09:24:06.878331+05:30,,FLAT,0,0.0,65.73,-512.85,0.0,MULTI_BAR_REVERSAL_EXIT: CUMULATIVE_COUNTER_TREND: Spot dropped -25.6 pts in 5 mins against CALL,-512.85
2026-09-15 09:47:06.362303+05:30,2026-09-15 09:38:08.304392+05:30,,FLAT,0,0.0,82.82,-924.95,0.0,MULTI_BAR_REVERSAL_EXIT: FAST_COUNTER_SURGE: Spot dropped -24.8 pts in 3 mins against CALL,-1437.80
2026-09-15 10:13:05.715159+05:30,2026-09-15 10:09:07.893397+05:30,,FLAT,0,0.0,125.32,1935.05,0.0,MULTI_BAR_REVERSAL_EXIT: FAST_COUNTER_SURGE: Spot surged +18.6 pts in 3 mins against PUT,497.25
2026-09-15 11:02:01.622441+05:30,2026-09-15 10:56:02.686806+05:30,,FLAT,0,0.0,86.06,750.10,0.0,MULTI_BAR_REVERSAL_EXIT: CUMULATIVE_COUNTER_TREND: Spot surged +23.6 pts in 5 mins against PUT,1247.35
2026-09-15 11:37:05.301346+05:30,2026-09-15 11:31:03.474007+05:30,,FLAT,0,0.0,59.04,-251.55,0.0,MULTI_BAR_REVERSAL_EXIT: CUMULATIVE_COUNTER_TREND: Spot surged +20.2 pts in 5 mins against PUT,995.80
2026-09-15 11:40:02.821291+05:30,2026-09-15 11:31:00.905463+05:30,,FLAT,0,0.0,55.09,-876.20,0.0,MULTI_BAR_REVERSAL_EXIT: CUMULATIVE_COUNTER_TREND: Spot surged +22.6 pts in 5 mins against PUT,-876.20
2026-09-15 12:31:21.462212+05:30,2026-09-15 11:42:04.266945+05:30,,FLAT,0,0.0,63.79,-1166.10,0.0,STOP_LOSS_TRIGGERED (Price INR 63.85 <= SL INR 65.32),-2042.30
2026-09-15 13:19:23.941725+05:30,2026-09-15 13:12:07.818951+05:30,,FLAT,0,0.0,74.97,302.25,0.0,STOP_LOSS_TRIGGERED (Price INR 75.05 <= SL INR 77.35),-1740.05
2026-09-15 13:50:26.562234+05:30,2026-09-15 13:43:05.515538+05:30,,FLAT,0,0.0,92.01,895.70,0.0,STOP_LOSS_TRIGGERED (Price INR 92.10 <= SL INR 92.10),1891.50
2026-09-15 14:23:02.688645+05:30,2026-09-15 13:43:01.945480+05:30,,FLAT,0,0.0,101.80,2055.95,0.0,MULTI_BAR_REVERSAL_EXIT: FAST_COUNTER_SURGE: Spot surged +17.5 pts in 3 mins against PUT,315.90
2026-09-16 09:26:07.921256+05:30,2026-09-16 09:23:05.581392+05:30,,FLAT,0,0.0,191.21,-948.00,0.0,MULTI_BAR_REVERSAL_EXIT: FAST_COUNTER_SURGE: Spot dropped -31.1 pts in 3 mins against CALL,-948.00
2026-09-16 09:29:10.822225+05:30,2026-09-16 09:27:06.679863+05:30,,FLAT,0,0.0,180.47,-1093.95,0.0,MULTI_BAR_REVERSAL_EXIT: CUMULATIVE_COUNTER_TREND: Spot dropped -46.0 pts in 5 mins against CALL,-2042.95
2026-09-16 09:37:51.753820+05:30,2026-09-16 09:33:04.493270+05:30,,FLAT,0,0.0,170.33,-1753.05,0.0,STOP_LOSS_TRIGGERED (Price INR 170.50 <= SL INR 172.10),-2708.55
2026-09-17 09:24:03.511098+05:30,2026-09-17 09:21:03.442200+05:30,NIFTY 22 SEP 23200 CALL,LONG,65,181.43,168.83,-818.99,-6.94,MULTI_BAR_REVERSAL_EXIT: FAST_COUNTER_SURGE: Spot dropped -18.5 pts in 3 mins against CALL,-818.99
2026-09-17 09:38:11.111601+05:30,2026-09-17 09:38:04.174558+05:30,NIFTY 22 SEP 23250 CALL,LONG,65,186.39,159.64,-1738.75,-14.35,STOP_LOSS_TRIGGERED (Price INR 159.80 <= SL INR 161.21),-1738.75
2026-09-17 10:26:01.420985+05:30,2026-09-17 10:12:04.843726+05:30,NIFTY 22 SEP 23250 CALL,LONG,65,159.96,160.69,47.45,0.46,EMERGENCY_REVERSAL_EXIT: Model confirmed Bearish SELL signal,-1691.30
2026-09-17 10:37:03.286362+05:30,2026-09-17 10:26:02.034485+05:30,NIFTY 22 SEP 23350 PUT,SHORT,65,148.70,148.40,-19.50,-0.20,MULTI_BAR_REVERSAL_EXIT: FAST_COUNTER_SURGE: Spot surged +17.8 pts in 3 mins against PUT,-1710.80
2026-09-17 11:19:04.354061+05:30,2026-09-17 11:15:05.579598+05:30,NIFTY 22 SEP 23300 PUT,SHORT,65,137.24,130.02,-469.30,-5.26,MULTI_BAR_REVERSAL_EXIT: FAST_COUNTER_SURGE: Spot surged +19.6 pts in 3 mins against PUT,-2180.10
2026-09-17 13:36:11.065126+05:30,2026-09-17 13:36:04.732339+05:30,NIFTY 22 SEP 23300 PUT,SHORT,65,186.38,142.46,-2854.7999999999993,-23.56,STOP_LOSS_TRIGGERED (Price INR 142.60 <= SL INR 161.19),-5744.699999999998
