timestamp,open,high,low,close,volume,vpin,vpin_regime,garch_mu,garch_vol,garch_signal,svm_pred,xgb_pred,xgb_conf,week_pos,trend_15m,decision
2026-09-03 09:15:00.312729+05:30,24016.75,24018.75,23997.35,24016.75,498982.0,0.1589,LOW_TOXICITY,0.000373,0.6089,BUY,1,1,0.9963,0.389,-1,APPROVED
2026-09-03 09:16:00.134412+05:30,23978.9,23982.75,23978.9,23978.9,66988.0,0.1589,LOW_TOXICITY,0.000268,0.5546,BUY,-1,-1,0.9963,0.325,-1,VETO
2026-09-03 09:17:05.878127+05:30,23982.9,23988.4,23982.1,23982.9,192792.0,0.1589,LOW_TOXICITY,0.000279,0.4657,BUY,1,1,0.9965,0.331,-1,APPROVED
2026-09-03 09:18:05.481049+05:30,23977.35,23979.2,23974.75,23977.35,112842.0,0.1589,LOW_TOXICITY,0.000263,0.3925,BUY,-1,-1,0.9962,0.322,-1,VETO
2026-09-03 09:19:04.925792+05:30,23962.2,23968.45,23961.15,23962.2,144307.0,0.1589,LOW_TOXICITY,0.000221,0.3417,BUY,-1,-1,0.9963,0.296,-1,VETO
2026-09-03 09:20:04.091654+05:30,23970.25,23971.5,23968.25,23970.25,117844.0,0.1589,LOW_TOXICITY,0.000244,0.2918,BUY,1,1,0.9965,0.31,-1,APPROVED
2026-09-03 09:21:03.831279+05:30,23983.7,23984.95,23982.1,23983.7,91512.0,0.1589,LOW_TOXICITY,0.000281,0.2586,BUY,1,1,0.9965,0.333,-1,APPROVED
2026-09-03 09:22:03.671332+05:30,23975.3,23980.65,23973.15,23975.3,120537.0,0.1589,LOW_TOXICITY,0.000258,0.225,BUY,-1,-1,0.9962,0.319,-1,VETO
2026-09-03 09:23:03.849247+05:30,23974.65,23976.3,23973.75,23974.65,76139.0,0.1589,LOW_TOXICITY,0.000256,0.1922,BUY,-1,-1,0.9962,0.317,-1,VETO
2026-09-03 09:24:03.281518+05:30,23965.15,23968.7,23962.95,23965.15,154291.0,0.1589,LOW_TOXICITY,0.000229,0.1743,BUY,-1,-1,0.9962,0.301,-1,VETO
2026-09-03 09:25:03.165066+05:30,23957.0,23959.45,23955.35,23957.0,103077.0,0.1589,LOW_TOXICITY,0.000207,0.1587,BUY,-1,-1,0.9962,0.288,-1,VETO
