timestamp,open,high,low,close,volume,vpin,vpin_regime,garch_mu,garch_vol,garch_signal,svm_pred,xgb_pred,xgb_conf,week_pos,trend_15m,decision
2026-09-04 13:44:45.836596+05:30,79000.0,79000.0,23942.95,79000.0,1057667.0,0.1422,LOW_TOXICITY,0.079598,12.3372,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:45:02.426678+05:30,79000.0,79000.0,23944.65,79000.0,372172.0,0.1422,LOW_TOXICITY,0.079603,12.3403,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:45:37.234344+05:30,79000.0,79000.0,23944.4,79000.0,1334786.0,0.1496,LOW_TOXICITY,0.079603,30.7409,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:46:01.591867+05:30,79000.0,79000.0,23948.75,79000.0,17439.0,0.1496,LOW_TOXICITY,0.079616,16.7385,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:47:05.952935+05:30,79000.0,79000.0,23949.7,79000.0,261558.0,0.1496,LOW_TOXICITY,0.079594,9.1142,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:48:02.296543+05:30,79000.0,79000.0,23951.35,79000.0,12755.0,0.1496,LOW_TOXICITY,0.079611,4.9629,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:49:06.649777+05:30,79000.0,79000.0,23947.1,79000.0,89027.0,0.1496,LOW_TOXICITY,0.079599,2.7027,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:50:03.016454+05:30,79000.0,79000.0,23948.4,79000.0,51274.0,0.1496,LOW_TOXICITY,0.079598,1.4723,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:51:07.843143+05:30,79000.0,79000.0,23941.5,79000.0,164747.0,0.1496,LOW_TOXICITY,0.079591,0.803,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:52:04.187335+05:30,79000.0,79000.0,23938.8,79000.0,86159.0,0.1496,LOW_TOXICITY,0.079592,0.4397,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:53:00.533075+05:30,79000.0,79000.0,23940.35,79000.0,0.0,0.1496,LOW_TOXICITY,0.079587,0.2438,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:54:04.963564+05:30,79000.0,79000.0,23939.65,79000.0,110294.0,0.1496,LOW_TOXICITY,0.079589,10.699,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:55:01.314704+05:30,79000.0,79000.0,23941.55,79000.0,10096.0,0.1496,LOW_TOXICITY,0.079583,10.7025,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:56:05.666834+05:30,79000.0,79000.0,23940.5,79000.0,42519.0,0.1496,LOW_TOXICITY,0.079571,10.7059,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:57:02.042978+05:30,79000.0,79000.0,23943.15,79000.0,38792.0,0.1496,LOW_TOXICITY,0.079581,10.7094,BUY,1,1,0.5,1.0,0,VETO
2026-09-04 13:58:06.407026+05:30,79000.0,79000.0,23944.15,79000.0,72145.0,0.1496,LOW_TOXICITY,0.079581,10.7129,BUY,1,1,0.5,1.0,1,VETO
2026-09-04 13:59:02.784485+05:30,79000.0,79000.0,23940.75,79000.0,17804.0,0.1496,LOW_TOXICITY,0.079572,10.7164,BUY,1,1,0.5,1.0,1,VETO
2026-09-04 14:00:07.260624+05:30,79000.0,79000.0,23939.3,79000.0,99536.0,0.1496,LOW_TOXICITY,0.0,10.7198,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:01:03.623401+05:30,79000.0,79000.0,23940.45,79000.0,30380.0,0.1496,LOW_TOXICITY,0.0,10.7233,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:02:07.965980+05:30,79000.0,79000.0,23940.1,79000.0,114178.0,0.1496,LOW_TOXICITY,0.0,10.7268,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:03:04.330505+05:30,79000.0,79000.0,23940.6,79000.0,52075.0,0.1496,LOW_TOXICITY,0.0,10.7302,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:04:00.717810+05:30,79000.0,79000.0,23942.0,79000.0,0.0,0.1496,LOW_TOXICITY,0.0,15.4654,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:05:05.125767+05:30,79000.0,79000.0,23944.1,79000.0,59418.0,0.1496,LOW_TOXICITY,0.0,15.4705,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:06:01.508177+05:30,79000.0,79000.0,23946.6,79000.0,8746.0,0.1496,LOW_TOXICITY,0.0,15.4755,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:07:05.852964+05:30,79000.0,79000.0,23946.6,79000.0,121428.0,0.1496,LOW_TOXICITY,0.0,15.4805,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:08:02.241041+05:30,79000.0,79000.0,23946.7,79000.0,11461.0,0.1496,LOW_TOXICITY,0.0,15.4855,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:09:06.606005+05:30,79000.0,79000.0,23942.5,79000.0,36309.0,0.1496,LOW_TOXICITY,0.0,15.4905,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:10:02.962322+05:30,79000.0,79000.0,23942.6,79000.0,18349.0,0.1496,LOW_TOXICITY,0.0,15.4954,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:11:07.301203+05:30,79000.0,79000.0,23945.6,79000.0,76909.0,0.1496,LOW_TOXICITY,0.0,15.5004,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:12:03.660339+05:30,79000.0,79000.0,23947.85,79000.0,28993.0,0.1496,LOW_TOXICITY,0.0,15.5054,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:13:08.002870+05:30,79000.0,79000.0,23947.1,79000.0,47878.0,0.1496,LOW_TOXICITY,0.0,15.5104,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:14:04.348261+05:30,79000.0,79000.0,23949.05,79000.0,39638.0,0.1496,LOW_TOXICITY,0.0,16.0027,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:15:00.813986+05:30,79000.0,79000.0,23948.3,79000.0,0.0,0.1496,LOW_TOXICITY,0.0,16.0006,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:16:05.174226+05:30,79000.0,79000.0,23944.2,79000.0,23651.0,0.1496,LOW_TOXICITY,0.0,15.9985,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:17:01.522002+05:30,79000.0,79000.0,23943.8,79000.0,4430.0,0.1496,LOW_TOXICITY,0.0,15.9964,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:18:05.902362+05:30,79000.0,79000.0,23942.4,79000.0,70130.0,0.1496,LOW_TOXICITY,0.0,15.9943,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:19:02.287982+05:30,79000.0,79000.0,23944.15,79000.0,9976.0,0.1496,LOW_TOXICITY,0.0,15.9922,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:20:06.668132+05:30,79000.0,79000.0,23946.2,79000.0,55644.0,0.1496,LOW_TOXICITY,0.0,15.9902,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:21:03.085543+05:30,79000.0,79000.0,23949.25,79000.0,10522.0,0.1496,LOW_TOXICITY,0.0,15.9881,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:22:07.468774+05:30,79000.0,79000.0,23950.2,79000.0,86690.0,0.1496,LOW_TOXICITY,0.0,15.986,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:23:03.842372+05:30,79000.0,79000.0,23948.5,79000.0,22924.0,0.1496,LOW_TOXICITY,0.0,15.9839,HOLD,0,0,0.5,1.0,1,APPROVED
2026-09-04 14:24:00.217799+05:30,79000.0,79000.0,23945.55,79000.0,0.0,0.1496,LOW_TOXICITY,0.0,13.6681,HOLD,0,0,0.5,1.0,1,APPROVED
