exit_timestamp,entry_time,track,symbol,side,quantity,entry_price,exit_price,pnl_inr,pnl_pct,exit_reason,cumulative_daily_pnl
2026-09-25 09:29:06.089744+05:30,2026-09-25 09:28:06.522661+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 23250 PUT,SHORT,65,176.68,164.34,-802.1000000000003,-6.98,STOP_LOSS_HIT (Option INR 164.95 <= SL 165.70 | Scalper Tier 0.0R),-1682.8500000000008
2026-09-25 09:35:52.135277+05:30,2026-09-25 09:35:09.074953+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 22950 CALL,LONG,65,248.4,236.36,-782.5999999999995,-4.85,STOP_LOSS_HIT (Option INR 236.30 <= SL 237.35 | Scalper Tier 0.0R),-2465.4500000000003
2026-09-25 09:53:04.370753+05:30,2026-09-25 09:50:01.324779+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 22900 CALL,LONG,65,248.3,239.76,-555.1000000000013,-3.44,MULTI_BAR_REVERSAL_EXIT: CUMULATIVE_COUNTER_TREND: Spot dropped -23.6 pts in 5 mins against CALL,-3020.5500000000015
2026-09-25 10:09:15.280513+05:30,2026-09-25 10:09:05.083023+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 22900 CALL,LONG,65,248.25,270.03,1415.6999999999982,8.77,RUNNER_TRAILING_HIT (Peak INR 275.30 -> SL INR 270.30 | Captured +22.05 pts Runner Profit),-1604.8500000000033
2026-09-25 12:36:48.522015+05:30,2026-09-25 12:17:09.230728+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 22950 CALL,LONG,65,215.01,203.4,-754.6499999999991,-5.4,STOP_LOSS_HIT (Option INR 203.45 <= SL 204.00 | Scalper Tier 0.0R),-2359.499999999999
2026-09-25 12:52:10.137137+05:30,2026-09-25 12:47:06.204688+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 23250 PUT,SHORT,65,194.19,204.6,676.6499999999997,5.36,EMERGENCY_REVERSAL_EXIT: Model confirmed Bullish BUY signal,-1682.8499999999995
2026-09-25 12:56:57.933853+05:30,2026-09-25 12:56:05.780076+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 22900 CALL,LONG,65,230.73,218.43,-799.4999999999989,-5.33,STOP_LOSS_HIT (Option INR 218.00 <= SL 219.70 | Scalper Tier 0.0R),-2482.3499999999985
2026-09-25 13:23:06.933327+05:30,2026-09-25 13:09:06.890500+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 22900 CALL,LONG,65,231.88,220.13,-763.75,-5.07,STOP_LOSS_HIT (Option INR 220.85 <= SL 220.85 | Scalper Tier 0.0R),-3246.0999999999985
2026-09-25 14:12:09.693725+05:30,2026-09-25 13:46:05.492423+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 22900 CALL,LONG,65,221.77,311.84,5854.549999999997,40.61,RUNNER_TRAILING_HIT (Peak INR 316.10 -> SL INR 311.10 | Captured +89.33 pts Runner Profit),2608.449999999999
2026-09-25 14:20:50.160555+05:30,2026-09-25 14:20:06.126964+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 22900 CALL,LONG,65,310.31,305.49,-313.29999999999956,-1.55,STOP_LOSS_HIT (Option INR 305.60 <= SL 311.81 | Scalper Tier 0.0R),2295.149999999999
2026-09-25 14:31:31.816348+05:30,2026-09-25 14:23:03.998275+05:30,Track 1: Dual-Brain,NIFTY 29 SEP 22900 CALL,LONG,65,308.51,321.18,823.5500000000011,4.11,RUNNER_TRAILING_HIT (Peak INR 325.00 -> SL INR 322.15 | Captured +13.64 pts Runner Profit),3118.7000000000003
